metric,libelle,valeur,note
enquetes_judiciaires_ouvertes,Enquêtes judiciaires ouvertes (saisines),1093,
enquetes_judiciaires_cloturees,Enquêtes judiciaires clôturées,1201,
enquetes_administratives_ouvertes,Enquêtes administratives (pré-disciplinaires) ouvertes,176,
enquetes_administratives_cloturees,Enquêtes administratives clôturées,217,
effectifs_agents,Effectif total de l'IGPN (agents),270,hors reservistes
signalements_plateforme,Signalements reçus sur la plateforme de signalement (PFS),6003,
consultations_juridiques_annee,Consultations juridiques rendues dans l'année,228,
formations_agents_formes,Agents formés dans l'année,4155,
structures_evaluees,Structures de la police nationale évaluées,94,"perimetre different des autres annees : structures evaluees dans le cadre de l'amelioration de l'accueil des victimes, non comparable directement au chiffre 2019/2020"
etudes_realisees,Études réalisées,25,
missions_accompagnement,Missions d'accompagnement de projet,26,
fiches_amaris_publiees,Fiches AMARIS publiées dans l'année,7,"+ 56 fiches en stock, non comptees ici"
deces_mission_police,Décès de particuliers à l'occasion d'une mission de police,37,
blesses_mission_police,Blessures graves de particuliers à l'occasion d'une mission de police,79,
enquetes_usage_force,Enquêtes judiciaires portant sur l'usage de la force,510,
enquetes_injures_racistes_discriminatoires,Enquêtes ouvertes pour injures à caractère raciste ou discriminatoire,51,
enquetes_corruption_active,Enquêtes pour corruption active,14,
enquetes_corruption_passive,Enquêtes pour corruption passive,16,
